PESSOA,TEMA,lado,LINKEDIN
Maria Paula Vieira Cicogna Abreu,Desenvolvimento Econômico,oferta,
marina amadeu batista bragante,São Paulo,oferta,
marina amadeu batista bragante,Setor Público Executivo,oferta,
marina amadeu batista bragante,Desenvolvimento Social,oferta,
marina amadeu batista bragante,Mulheres na Política,oferta,
Marina Lafer,Rio de Janeiro,oferta,
Marina Lafer,Academia/Pesquisa,oferta,
Marina Lafer,Gestão Pública,oferta,
Marina Lafer,"Mestrado, Doutorado, MBA, Estudar Fora",oferta,
Maxwill Michel Santos Araujo Braga,Paraná,oferta,
Maxwill Michel Santos Araujo Braga,Empreendedorismo Social,oferta,
Maxwill Michel Santos Araujo Braga,Educação,oferta,
Maxwill Michel Santos Araujo Braga,Arte,oferta,
"Michelle ""Mi"" Medrado",California,oferta,
"Michelle ""Mi"" Medrado",Academia/Pesquisa,oferta,
"Michelle ""Mi"" Medrado",Desenvolvimento Econômico,oferta,
"Michelle ""Mi"" Medrado",Publicações,oferta,
Nina Rentel Scheilga,São Paulo,oferta,
Nina Rentel Scheilga,oferta,oferta,
Nina Rentel Scheilga,Desenvolvimento Social,oferta,
Nina Rentel Scheilga,Inovação,oferta,
Pedro Henrique Batista Ribeiro ,São Paulo,oferta,
Pedro Henrique Batista Ribeiro ,Empreendedorismo Social,oferta,
Pedro Henrique Batista Ribeiro ,Educação,oferta,
Pedro Henrique Batista Ribeiro ,Música,oferta,
Pedro Ivo Santana Borges de Lima ,Distrito Federal,oferta,
Pedro Ivo Santana Borges de Lima ,Setor Público Legislativo,oferta,
Pedro Ivo Santana Borges de Lima ,Gestão Pública,oferta,
Raimundo Otávio da Mota,Ceará,oferta,
Raimundo Otávio da Mota,Setor Público Executivo,oferta,
Raimundo Otávio da Mota,Educação,oferta,
Raimundo Otávio da Mota,Recomposição de Aprendizagem,oferta,
Raquel Lima Alves Babolin ,Goiás,oferta,
Raquel Lima Alves Babolin ,Educadores em Escolas,oferta,
Raquel Lima Alves Babolin ,Educação,oferta,
roger friedrich werner koeppl,São Paulo,oferta,
roger friedrich werner koeppl,Empreendedorismo Social,oferta,
roger friedrich werner koeppl,Meio Ambiente/Sustentabilidade,oferta,
Ronaldo Tenório de Freitas,Alagoas,oferta,
Ronaldo Tenório de Freitas,Empreendedorismo Social,oferta,
Samuel Emilio Melo,São Paulo,oferta,
Samuel Emilio Melo,Setor Público Legislativo,oferta,
Samuel Emilio Melo,Justiça Social,oferta,
Samuel Emilio Melo,Oportunidades Profissionais,oferta,
Sergio luiz Víctor Júnior ,São Paulo,oferta,
Sergio luiz Víctor Júnior ,Setor Público Legislativo,oferta,
Sergio luiz Víctor Júnior ,Desenvolvimento Econômico,oferta,
Sergio luiz Víctor Júnior ,Gestão Pública,oferta,
Sérgio Nogueira Seabra,Distrito Federal,oferta,
Sérgio Nogueira Seabra,Setor Público Executivo,oferta,
Sérgio Nogueira Seabra,Desenvolvimento Social,oferta,
Sérgio Nogueira Seabra,Anticorrupção,oferta,
Solange Macedo Lima,Minas Gerais,oferta,
Solange Macedo Lima,Empreendedorismo Social,oferta,
Solange Macedo Lima,Educação,oferta,
Solange Macedo Lima,Homeschooling,oferta,
Sonia Regina Guaraldo,São Paulo,oferta,
Sonia Regina Guaraldo,Terceiro Setor,oferta,
Sonia Regina Guaraldo,Educação,oferta,
Stefanie Henking Eskereski ,Rio Grande do Sul,oferta,
Stefanie Henking Eskereski ,Setor Público Executivo,oferta,
Stefanie Henking Eskereski ,Gestão Pública,oferta,
Stefanie Henking Eskereski ,Recomposição de Aprendizagem,oferta,
Sueli Lima Nunes ,Pernambuco,oferta,
Sueli Lima Nunes ,Terceiro Setor,oferta,
Sueli Lima Nunes ,Educação,oferta,
Sueli Lima Nunes ,Antirracismo,oferta,
Tacio Éden Azevedo Lobo,Bahia,oferta,
Tacio Éden Azevedo Lobo,Setor Privado,oferta,
Tacio Éden Azevedo Lobo,Educação,oferta,
Tacio Éden Azevedo Lobo,Gestão de Stakeholders,oferta,
Taisa Nunes Barros,São Paulo,oferta,
Taisa Nunes Barros,Setor Privado,oferta,
Taisa Nunes Barros,Educação,oferta,
Tâmara Barros de Andrade ,São Paulo,oferta,
Tâmara Barros de Andrade ,Setor Privado,oferta,
Tâmara Barros de Andrade ,Educação,oferta,
Teresa Cozetti Pontual Pereira,Rio de Janeiro,oferta,
Teresa Cozetti Pontual Pereira,Setor Público Executivo,oferta,
Teresa Cozetti Pontual Pereira,Educação,oferta,
Teresa Cozetti Pontual Pereira,Avaliações de Impacto,oferta,
Thales Luan Pereira Dias,Minas Gerais,oferta,
Thales Luan Pereira Dias,Setor Público Executivo,oferta,
Thales Luan Pereira Dias,Desenvolvimento Econômico,oferta,
Thales Luan Pereira Dias,Startups,oferta,
Thiago  Rocha de Paula,São Paulo,oferta,
Thiago  Rocha de Paula,Setor Público Executivo,oferta,
Thiago  Rocha de Paula,Educação,oferta,
Thiago  Rocha de Paula,Estratégias de Comunicação e Marca Pessoal,oferta,
Thiago Freire Feijão Moreira,São Paulo,oferta,
Thiago Freire Feijão Moreira,Empreendedorismo Social,oferta,
Thiago Freire Feijão Moreira,Educação,oferta,
Thiago Freire Feijão Moreira,Startups,oferta,
Thiago Miquel Lamelo,Massachusetts,oferta,
Thiago Miquel Lamelo,Setor Privado,oferta,
Thiago Miquel Lamelo,Educação,oferta,
Thiago Rached,São Paulo,oferta,
Thiago Rached,Empreendedorismo Social,oferta,
Thiago Rached,Educação,oferta,
Thiago Rached,Oportunidades Profissionais,oferta,
Tiago Cortinaz da Silva,Distrito Federal,oferta,
Tiago Cortinaz da Silva,Setor Público Executivo,oferta,
Tiago Cortinaz da Silva,Educação,oferta,
